date,cy_date,year,month_name,date_yy_mmm
24-02-2018,01-02-2018,2018,February,18-Feb\r
25-02-2018,01-02-2018,2018,February,18-Feb\r
26-02-2018,01-02-2018,2018,February,18-Feb\r
27-02-2018,01-02-2018,2018,February,18-Feb\r
28-02-2018,01-02-2018,2018,February,18-Feb\r
01-03-2018,01-03-2018,2018,March,18-Mar\r
02-03-2018,01-03-2018,2018,March,18-Mar\r
03-03-2018,01-03-2018,2018,March,18-Mar\r
04-03-2018,01-03-2018,2018,March,18-Mar\r
05-03-2018,01-03-2018,2018,March,18-Mar\r
06-03-2018,01-03-2018,2018,March,18-Mar\r
07-03-2018,01-03-2018,2018,March,18-Mar\r
08-03-2018,01-03-2018,2018,March,18-Mar\r
09-03-2018,01-03-2018,2018,March,18-Mar\r
10-03-2018,01-03-2018,2018,March,18-Mar\r
11-03-2018,01-03-2018,2018,March,18-Mar\r
12-03-2018,01-03-2018,2018,March,18-Mar\r
13-03-2018,01-03-2018,2018,March,18-Mar\r
14-03-2018,01-03-2018,2018,March,18-Mar\r
15-03-2018,01-03-2018,2018,March,18-Mar\r
16-03-2018,01-03-2018,2018,March,18-Mar\r
17-03-2018,01-03-2018,2018,March,18-Mar\r
18-03-2018,01-03-2018,2018,March,18-Mar\r
19-03-2018,01-03-2018,2018,March,18-Mar\r
20-03-2018,01-03-2018,2018,March,18-Mar\r
21-03-2018,01-03-2018,2018,March,18-Mar\r
22-03-2018,01-03-2018,2018,March,18-Mar\r
23-03-2018,01-03-2018,2018,March,18-Mar\r
24-03-2018,01-03-2018,2018,March,18-Mar\r
25-03-2018,01-03-2018,2018,March,18-Mar\r
26-03-2018,01-03-2018,2018,March,18-Mar\r
27-03-2018,01-03-2018,2018,March,18-Mar\r
28-03-2018,01-03-2018,2018,March,18-Mar\r
29-03-2018,01-03-2018,2018,March,18-Mar\r
30-03-2018,01-03-2018,2018,March,18-Mar\r
31-03-2018,01-03-2018,2018,March,18-Mar\r
01-04-2018,01-04-2018,2018,April,18-Apr\r
02-04-2018,01-04-2018,2018,April,18-Apr\r
03-04-2018,01-04-2018,2018,April,18-Apr\r
04-04-2018,01-04-2018,2018,April,18-Apr\r
05-04-2018,01-04-2018,2018,April,18-Apr\r
06-04-2018,01-04-2018,2018,April,18-Apr\r
07-04-2018,01-04-2018,2018,April,18-Apr\r
08-04-2018,01-04-2018,2018,April,18-Apr\r
09-04-2018,01-04-2018,2018,April,18-Apr\r
10-04-2018,01-04-2018,2018,April,18-Apr\r
11-04-2018,01-04-2018,2018,April,18-Apr\r
12-04-2018,01-04-2018,2018,April,18-Apr\r
13-04-2018,01-04-2018,2018,April,18-Apr\r
14-04-2018,01-04-2018,2018,April,18-Apr\r
15-04-2018,01-04-2018,2018,April,18-Apr\r
16-04-2018,01-04-2018,2018,April,18-Apr\r
17-04-2018,01-04-2018,2018,April,18-Apr\r
18-04-2018,01-04-2018,2018,April,18-Apr\r
19-04-2018,01-04-2018,2018,April,18-Apr\r
20-04-2018,01-04-2018,2018,April,18-Apr\r
21-04-2018,01-04-2018,2018,April,18-Apr\r
22-04-2018,01-04-2018,2018,April,18-Apr\r
23-04-2018,01-04-2018,2018,April,18-Apr\r
24-04-2018,01-04-2018,2018,April,18-Apr\r
25-04-2018,01-04-2018,2018,April,18-Apr\r
26-04-2018,01-04-2018,2018,April,18-Apr\r
27-04-2018,01-04-2018,2018,April,18-Apr\r
28-04-2018,01-04-2018,2018,April,18-Apr\r
29-04-2018,01-04-2018,2018,April,18-Apr\r
30-04-2018,01-04-2018,2018,April,18-Apr\r
01-05-2018,01-05-2018,2018,May,18-May\r
02-05-2018,01-05-2018,2018,May,18-May\r
03-05-2018,01-05-2018,2018,May,18-May\r
04-05-2018,01-05-2018,2018,May,18-May\r
05-05-2018,01-05-2018,2018,May,18-May\r
06-05-2018,01-05-2018,2018,May,18-May\r
07-05-2018,01-05-2018,2018,May,18-May\r
08-05-2018,01-05-2018,2018,May,18-May\r
09-05-2018,01-05-2018,2018,May,18-May\r
10-05-2018,01-05-2018,2018,May,18-May\r
11-05-2018,01-05-2018,2018,May,18-May\r
12-05-2018,01-05-2018,2018,May,18-May\r
13-05-2018,01-05-2018,2018,May,18-May\r
14-05-2018,01-05-2018,2018,May,18-May\r
15-05-2018,01-05-2018,2018,May,18-May\r
16-05-2018,01-05-2018,2018,May,18-May\r
17-05-2018,01-05-2018,2018,May,18-May\r
18-05-2018,01-05-2018,2018,May,18-May\r
19-05-2018,01-05-2018,2018,May,18-May\r
20-05-2018,01-05-2018,2018,May,18-May\r
21-05-2018,01-05-2018,2018,May,18-May\r
22-05-2018,01-05-2018,2018,May,18-May\r
23-05-2018,01-05-2018,2018,May,18-May\r
24-05-2018,01-05-2018,2018,May,18-May\r
25-05-2018,01-05-2018,2018,May,18-May\r
26-05-2018,01-05-2018,2018,May,18-May\r
27-05-2018,01-05-2018,2018,May,18-May\r
28-05-2018,01-05-2018,2018,May,18-May\r
29-05-2018,01-05-2018,2018,May,18-May\r
30-05-2018,01-05-2018,2018,May,18-May\r
31-05-2018,01-05-2018,2018,May,18-May\r
01-06-2018,01-06-2018,2018,June,18-Jun\r
02-06-2018,01-06-2018,2018,June,18-Jun\r
03-06-2018,01-06-2018,2018,June,18-Jun\r
04-06-2018,01-06-2018,2018,June,18-Jun\r
05-06-2018,01-06-2018,2018,June,18-Jun\r
06-06-2018,01-06-2018,2018,June,18-Jun\r
07-06-2018,01-06-2018,2018,June,18-Jun\r
08-06-2018,01-06-2018,2018,June,18-Jun\r
09-06-2018,01-06-2018,2018,June,18-Jun\r
10-06-2018,01-06-2018,2018,June,18-Jun\r
11-06-2018,01-06-2018,2018,June,18-Jun\r
12-06-2018,01-06-2018,2018,June,18-Jun\r
13-06-2018,01-06-2018,2018,June,18-Jun\r
14-06-2018,01-06-2018,2018,June,18-Jun\r
15-06-2018,01-06-2018,2018,June,18-Jun\r
16-06-2018,01-06-2018,2018,June,18-Jun\r
17-06-2018,01-06-2018,2018,June,18-Jun\r
18-06-2018,01-06-2018,2018,June,18-Jun\r
19-06-2018,01-06-2018,2018,June,18-Jun\r
20-06-2018,01-06-2018,2018,June,18-Jun\r
21-06-2018,01-06-2018,2018,June,18-Jun\r
22-06-2018,01-06-2018,2018,June,18-Jun\r
23-06-2018,01-06-2018,2018,June,18-Jun\r
24-06-2018,01-06-2018,2018,June,18-Jun\r
25-06-2018,01-06-2018,2018,June,18-Jun\r
26-06-2018,01-06-2018,2018,June,18-Jun\r
27-06-2018,01-06-2018,2018,June,18-Jun\r
28-06-2018,01-06-2018,2018,June,18-Jun\r
29-06-2018,01-06-2018,2018,June,18-Jun\r
30-06-2018,01-06-2018,2018,June,18-Jun\r
01-07-2018,01-07-2018,2018,July,18-Jul\r
02-07-2018,01-07-2018,2018,July,18-Jul\r
03-07-2018,01-07-2018,2018,July,18-Jul\r
04-07-2018,01-07-2018,2018,July,18-Jul\r
05-07-2018,01-07-2018,2018,July,18-Jul\r
06-07-2018,01-07-2018,2018,July,18-Jul\r
07-07-2018,01-07-2018,2018,July,18-Jul\r
08-07-2018,01-07-2018,2018,July,18-Jul\r
09-07-2018,01-07-2018,2018,July,18-Jul\r
10-07-2018,01-07-2018,2018,July,18-Jul\r
11-07-2018,01-07-2018,2018,July,18-Jul\r
12-07-2018,01-07-2018,2018,July,18-Jul\r
13-07-2018,01-07-2018,2018,July,18-Jul\r
14-07-2018,01-07-2018,2018,July,18-Jul\r
15-07-2018,01-07-2018,2018,July,18-Jul\r
16-07-2018,01-07-2018,2018,July,18-Jul\r
17-07-2018,01-07-2018,2018,July,18-Jul\r
18-07-2018,01-07-2018,2018,July,18-Jul\r
19-07-2018,01-07-2018,2018,July,18-Jul\r
20-07-2018,01-07-2018,2018,July,18-Jul\r
21-07-2018,01-07-2018,2018,July,18-Jul\r
22-07-2018,01-07-2018,2018,July,18-Jul\r
23-07-2018,01-07-2018,2018,July,18-Jul\r
24-07-2018,01-07-2018,2018,July,18-Jul\r
25-07-2018,01-07-2018,2018,July,18-Jul\r
26-07-2018,01-07-2018,2018,July,18-Jul\r
27-07-2018,01-07-2018,2018,July,18-Jul\r
28-07-2018,01-07-2018,2018,July,18-Jul\r
29-07-2018,01-07-2018,2018,July,18-Jul\r
30-07-2018,01-07-2018,2018,July,18-Jul\r
31-07-2018,01-07-2018,2018,July,18-Jul\r
01-08-2018,01-08-2018,2018,August,18-Aug\r
02-08-2018,01-08-2018,2018,August,18-Aug\r
03-08-2018,01-08-2018,2018,August,18-Aug\r
04-08-2018,01-08-2018,2018,August,18-Aug\r
05-08-2018,01-08-2018,2018,August,18-Aug\r
06-08-2018,01-08-2018,2018,August,18-Aug\r
07-08-2018,01-08-2018,2018,August,18-Aug\r
08-08-2018,01-08-2018,2018,August,18-Aug\r
09-08-2018,01-08-2018,2018,August,18-Aug\r
10-08-2018,01-08-2018,2018,August,18-Aug\r
11-08-2018,01-08-2018,2018,August,18-Aug\r
12-08-2018,01-08-2018,2018,August,18-Aug\r
13-08-2018,01-08-2018,2018,August,18-Aug\r
14-08-2018,01-08-2018,2018,August,18-Aug\r
15-08-2018,01-08-2018,2018,August,18-Aug\r
16-08-2018,01-08-2018,2018,August,18-Aug\r
17-08-2018,01-08-2018,2018,August,18-Aug\r
18-08-2018,01-08-2018,2018,August,18-Aug\r
19-08-2018,01-08-2018,2018,August,18-Aug\r
20-08-2018,01-08-2018,2018,August,18-Aug\r
21-08-2018,01-08-2018,2018,August,18-Aug\r
22-08-2018,01-08-2018,2018,August,18-Aug\r
23-08-2018,01-08-2018,2018,August,18-Aug\r
24-08-2018,01-08-2018,2018,August,18-Aug\r
25-08-2018,01-08-2018,2018,August,18-Aug\r
26-08-2018,01-08-2018,2018,August,18-Aug\r
27-08-2018,01-08-2018,2018,August,18-Aug\r
28-08-2018,01-08-2018,2018,August,18-Aug\r
29-08-2018,01-08-2018,2018,August,18-Aug\r
30-08-2018,01-08-2018,2018,August,18-Aug\r
31-08-2018,01-08-2018,2018,August,18-Aug\r
01-09-2018,01-09-2018,2018,September,18-Sep\r
02-09-2018,01-09-2018,2018,September,18-Sep\r
03-09-2018,01-09-2018,2018,September,18-Sep\r
04-09-2018,01-09-2018,2018,September,18-Sep\r
05-09-2018,01-09-2018,2018,September,18-Sep\r
06-09-2018,01-09-2018,2018,September,18-Sep\r
07-09-2018,01-09-2018,2018,September,18-Sep\r
08-09-2018,01-09-2018,2018,September,18-Sep\r
09-09-2018,01-09-2018,2018,September,18-Sep\r
10-09-2018,01-09-2018,2018,September,18-Sep\r
11-09-2018,01-09-2018,2018,September,18-Sep\r
12-09-2018,01-09-2018,2018,September,18-Sep\r
13-09-2018,01-09-2018,2018,September,18-Sep\r
14-09-2018,01-09-2018,2018,September,18-Sep\r
15-09-2018,01-09-2018,2018,September,18-Sep\r
16-09-2018,01-09-2018,2018,September,18-Sep\r
17-09-2018,01-09-2018,2018,September,18-Sep\r
18-09-2018,01-09-2018,2018,September,18-Sep\r
19-09-2018,01-09-2018,2018,September,18-Sep\r
20-09-2018,01-09-2018,2018,September,18-Sep\r
21-09-2018,01-09-2018,2018,September,18-Sep\r
22-09-2018,01-09-2018,2018,September,18-Sep\r
23-09-2018,01-09-2018,2018,September,18-Sep\r
24-09-2018,01-09-2018,2018,September,18-Sep\r
25-09-2018,01-09-2018,2018,September,18-Sep\r
26-09-2018,01-09-2018,2018,September,18-Sep\r
27-09-2018,01-09-2018,2018,September,18-Sep\r
28-09-2018,01-09-2018,2018,September,18-Sep\r
29-09-2018,01-09-2018,2018,September,18-Sep\r
30-09-2018,01-09-2018,2018,September,18-Sep\r
01-10-2018,01-10-2018,2018,October,18-Oct\r
02-10-2018,01-10-2018,2018,October,18-Oct\r
03-10-2018,01-10-2018,2018,October,18-Oct\r
04-10-2018,01-10-2018,2018,October,18-Oct\r
05-10-2018,01-10-2018,2018,October,18-Oct\r
06-10-2018,01-10-2018,2018,October,18-Oct\r
07-10-2018,01-10-2018,2018,October,18-Oct\r
08-10-2018,01-10-2018,2018,October,18-Oct\r
09-10-2018,01-10-2018,2018,October,18-Oct\r
10-10-2018,01-10-2018,2018,October,18-Oct\r
11-10-2018,01-10-2018,2018,October,18-Oct\r
12-10-2018,01-10-2018,2018,October,18-Oct\r
13-10-2018,01-10-2018,2018,October,18-Oct\r
14-10-2018,01-10-2018,2018,October,18-Oct\r
15-10-2018,01-10-2018,2018,October,18-Oct\r
16-10-2018,01-10-2018,2018,October,18-Oct\r
17-10-2018,01-10-2018,2018,October,18-Oct\r
18-10-2018,01-10-2018,2018,October,18-Oct\r
19-10-2018,01-10-2018,2018,October,18-Oct\r
20-10-2018,01-10-2018,2018,October,18-Oct\r
21-10-2018,01-10-2018,2018,October,18-Oct\r
22-10-2018,01-10-2018,2018,October,18-Oct\r
23-10-2018,01-10-2018,2018,October,18-Oct\r
24-10-2018,01-10-2018,2018,October,18-Oct\r
25-10-2018,01-10-2018,2018,October,18-Oct\r
26-10-2018,01-10-2018,2018,October,18-Oct\r
27-10-2018,01-10-2018,2018,October,18-Oct\r
28-10-2018,01-10-2018,2018,October,18-Oct\r
29-10-2018,01-10-2018,2018,October,18-Oct\r
30-10-2018,01-10-2018,2018,October,18-Oct\r
31-10-2018,01-10-2018,2018,October,18-Oct\r
01-11-2018,01-11-2018,2018,November,18-Nov\r
